customer_id,name,email,signup_date,total_spent,total_transactions,last_purchase_date,days_as_customer,days_since_last_purchase,transactions_per_month,avg_spend_per_transaction,lifetime_value_per_month,engagement_bin_equal,spend_tier_quantile,recency_score,frequency_score,monetary_score,rfm_score,total_spent_normalized,total_spent_zscore
1001,Customer_1001,customer_1001@example.com,2025-06-22,2330.0,4,2025-03-27,193.0,280.0,0.6217616580310881,582.5,362.1761658031088,low,tier_3,3,3,4,10,0.07380892042574759,0.016960394780593156
1002,Customer_1002,customer_1002@example.com,2025-07-23,2346.0,4,2025-03-28,162.0,279.0,0.7407407407407407,586.5,434.4444444444444,low,tier_3,4,3,4,11,0.0743157627977699,0.02097151068710518
1003,Customer_1003,customer_1003@example.com,2025-08-24,2362.0,4,2025-03-07,130.0,300.0,0.9230769230769232,590.5,545.0769230769231,low,tier_3,2,3,4,9,0.0748226051697922,0.024982626593617205
1004,Customer_1004,customer_1004@example.com,2025-09-25,2378.0,4,2025-03-11,98.0,296.0,1.2244897959183674,594.5,727.9591836734694,low,tier_3,2,3,4,9,0.07532944754181449,0.028993742500129233
1005,Customer_1005,customer_1005@example.com,2025-10-26,2394.0,4,2025-03-15,67.0,292.0,1.791044776119403,598.5,1071.9402985074626,low,tier_3,2,3,4,9,0.0758362899138368,0.03300485840664126
1006,Customer_1006,customer_1006@example.com,2025-11-27,2410.0,4,2025-03-19,35.0,288.0,3.4285714285714284,602.5,2065.714285714286,medium,tier_3,3,3,4,10,0.0763431322858591,0.03701597431315328
1007,Customer_1007,customer_1007@example.com,2025-12-28,2426.0,4,2025-03-23,4.0,284.0,30.0,606.5,18195.0,high,tier_3,3,3,4,10,0.0768499746578814,0.04102709021966531
1008,Customer_1008,customer_1008@example.com,2025-01-01,2442.0,4,2025-03-27,365.0,280.0,0.3287671232876712,610.5,200.7123287671233,low,tier_3,3,3,4,10,0.0773568170299037,0.04503820612617733
1009,Customer_1009,customer_1009@example.com,2025-02-02,2458.0,4,2025-03-28,333.0,279.0,0.3603603603603604,614.5,221.44144144144144,low,tier_3,4,3,4,11,0.077863659401926,0.04904932203268936
1010,Customer_1010,customer_1010@example.com,2025-03-03,2474.0,4,2025-03-07,304.0,300.0,0.3947368421052631,618.5,244.1447368421053,low,tier_3,2,3,4,9,0.0783705017739483,0.053060437939201385
1011,Customer_1011,customer_1011@example.com,2025-04-04,2490.0,4,2025-03-11,272.0,296.0,0.4411764705882353,622.5,274.63235294117646,low,tier_3,2,3,4,9,0.0788773441459706,0.057071553845713406
1012,Customer_1012,customer_1012@example.com,2025-05-05,2506.0,4,2025-03-15,241.0,292.0,0.4979253112033195,626.5,311.9502074688797,low,tier_3,2,3,4,9,0.07938418651799291,0.061082669752225434
1013,Customer_1013,customer_1013@example.com,2025-06-06,2522.0,4,2025-03-19,209.0,288.0,0.5741626794258373,630.5,362.0095693779904,low,tier_3,3,3,4,10,0.0798910288900152,0.06509378565873745
1014,Customer_1014,customer_1014@example.com,2025-07-07,2538.0,4,2025-03-23,178.0,284.0,0.6741573033707865,634.5,427.752808988764,low,tier_3,3,3,4,10,0.08039787126203751,0.06910490156524948
1015,Customer_1015,customer_1015@example.com,2025-08-08,2554.0,4,2025-03-27,146.0,280.0,0.8219178082191781,638.5,524.7945205479452,low,tier_3,3,3,4,10,0.08090471363405981,0.07311601747176151
1016,Customer_1016,customer_1016@example.com,2025-09-09,2570.0,4,2025-03-28,114.0,279.0,1.0526315789473684,642.5,676.3157894736843,low,tier_3,4,3,4,11,0.0814115560060821,0.07712713337827354
1017,Customer_1017,customer_1017@example.com,2025-10-10,2586.0,4,2025-03-07,83.0,300.0,1.4457831325301205,646.5,934.6987951807228,low,tier_3,2,3,4,9,0.08191839837810441,0.08113824928478557
1018,Customer_1018,customer_1018@example.com,2025-11-11,2602.0,4,2025-03-11,51.0,296.0,2.3529411764705883,650.5,1530.5882352941178,medium,tier_3,2,3,4,9,0.08242524075012671,0.08514936519129758
1019,Customer_1019,customer_1019@example.com,2025-12-12,2618.0,4,2025-03-15,20.0,292.0,6.0,654.5,3927.0,medium,tier_3,2,3,4,9,0.08293208312214902,0.08916048109780961
1020,Customer_1020,customer_1020@example.com,2025-01-13,2634.0,4,2025-03-19,353.0,288.0,0.3399433427762039,658.5,223.8526912181303,low,tier_3,3,3,4,10,0.08343892549417131,0.09317159700432164
1021,Customer_1021,customer_1021@example.com,2025-02-14,2650.0,4,2025-03-23,321.0,284.0,0.3738317757009346,662.5,247.6635514018692,low,tier_4,3,3,4,10,0.08394576786619361,0.09718271291083366
1022,Customer_1022,customer_1022@example.com,2025-03-15,2666.0,4,2025-03-27,292.0,280.0,0.4109589041095891,666.5,273.9041095890411,low,tier_4,3,3,4,10,0.08445261023821592,0.10119382881734569
1023,Customer_1023,customer_1023@example.com,2025-04-16,2682.0,4,2025-03-28,260.0,279.0,0.4615384615384615,670.5,309.4615384615385,low,tier_4,4,3,4,11,0.08495945261023821,0.10520494472385772
1024,Customer_1024,customer_1024@example.com,2025-05-17,2698.0,4,2025-03-07,229.0,300.0,0.5240174672489083,674.5,353.44978165938863,low,tier_4,2,3,4,9,0.08546629498226052,0.10921606063036973
